Date,Asset,Action,Pre_Position,Post_Position,Position_Change,Executed_Price,Signal_Score,Regime
2024-11-18,IM,reduce_long,0.676573713190896,0.6136266449649519,-0.06294706822594409,7252.073273117149,1.6282490657342974,trend
2024-11-19,IM,reduce_long,0.6136266449649519,0.5437858732119882,-0.06984077175296366,7421.128355295891,1.616429168634732,trend
2024-11-20,IM,increase_long,0.5437858732119882,0.5532131244544138,0.009427251242425605,7540.246417522699,1.7100061193583722,trend
2024-11-21,IM,reduce_long,0.5532131244544138,0.5433925081419061,-0.009820616312507746,7535.861703575699,1.275150436353895,trend
2024-11-22,IF,open_long,0.0,0.5052425353817307,0.5052425353817307,5144.276162016106,1.5054332277556417,trend
2024-11-22,IM,reduce_long,0.5433925081419061,0.19635827493586186,-0.3470342332060442,7248.419344827984,0.174547832144685,range
2024-11-25,IF,reduce_long,0.5052425353817307,0.4802867500568744,-0.024955785324856317,5115.229016260835,0.915802871466807,trend
2024-11-25,IM,close_long,0.19635827493586186,0.0,-0.19635827493586186,7299.087150437751,1.254881953952378,neutral
2024-11-26,IF,reduce_long,0.4802867500568744,0.4789644244179759,-0.0013223256388985027,5111.231702624789,1.651895927628707,trend
2024-11-27,IF,reduce_long,0.4789644244179759,0.4785986953868635,-0.00036572903111237176,5198.373139890603,1.4825451570956665,range
2024-11-28,IF,close_long,0.4785986953868635,0.0,-0.4785986953868635,5159.73244140882,1.8867617925949736,range
2024-11-29,IM,open_long,0.0,0.4832299846912092,0.4832299846912092,7497.860849368374,1.4531214375552852,trend
2024-12-02,IM,increase_long,0.4832299846912092,0.4875421261338068,0.004312141442597617,7632.812600848234,1.0281979981018092,trend
2024-12-03,IM,reduce_long,0.4875421261338068,0.40631493813967756,-0.08122718799412926,7631.10743431329,-1.1988144022692817,range
2024-12-04,IM,close_long,0.40631493813967756,0.0,-0.40631493813967756,7517.104871691315,-0.4375228367705586,neutral
2025-01-21,M,open_long,0.0,0.8424136369284896,0.8424136369284896,6024.529519272786,1.9253958721198987,trend
2025-01-22,M,reduce_long,0.8424136369284896,0.8413825444629172,-0.0010310924655724252,6013.956459393403,1.925723053689244,trend
2025-01-23,M,reduce_long,0.8413825444629172,0.8353509102015844,-0.006031634261332797,5997.039563586389,1.920432215575378,trend
2025-01-24,M,reduce_long,0.8353509102015844,0.825704087078375,-0.009646823123209414,6005.498011489896,1.915777432738751,trend
2025-01-27,M,increase_long,0.825704087078375,0.8304796357782427,0.004775548699867738,5967.434995924114,1.755639109503495,trend
2025-02-05,M,reduce_long,0.8304796357782427,0.8091847044160073,-0.02129493136223537,6200.042313270555,1.9004444932683395,trend
2025-02-06,M,increase_long,0.8091847044160073,0.8454335592108051,0.03624885479479778,6136.603953994253,1.6909161074932435,trend
2025-02-07,M,reduce_long,0.8454335592108051,0.8131716737712748,-0.03226188543953035,6151.40623782539,1.625368709659354,trend
2025-02-10,M,reduce_long,0.8131716737712748,0.8129281756219185,-0.00024349814935620273,6130.260118066622,0.9979098231114344,trend
2025-02-11,M,reduce_long,0.8129281756219185,0.8085320970678714,-0.0043960785540471115,6132.374730042499,1.273187931664869,trend
2025-02-12,I,open_long,0.0,0.45056099104905284,0.45056099104905284,4812.649706356888,1.0435864415704657,trend
2025-02-12,M,reduce_long,0.8085320970678714,0.7102167751278741,-0.09831532193999737,6035.10257915217,0.7078092462462414,trend
2025-02-13,I,increase_long,0.45056099104905284,0.7302320096987853,0.2796710186497325,4693.567848806717,0.090339407611008,neutral
2025-02-13,M,close_long,0.7102167751278741,0.0,-0.7102167751278741,6016.07107136928,0.6641737196220775,trend
2025-02-14,I,close_long,0.7302320096987853,0.0,-0.7302320096987853,4708.090026556738,-0.3012139713588437,neutral
2025-02-17,IM,open_long,0.0,0.6453460284058781,0.6453460284058781,7725.419250194973,1.6430686264292804,trend
2025-02-18,IM,reduce_long,0.6453460284058781,0.6447469465635904,-0.0005990818422876298,7590.020694388559,1.2301654932766928,trend
2025-02-18,M,open_long,0.0,0.29210681442989234,0.29210681442989234,6043.561027055677,1.050175492198053,trend
2025-02-19,IM,reduce_long,0.6447469465635904,0.46098737606039186,-0.18375957050319858,7751.2567727708765,1.011504658564561,neutral
2025-02-19,M,increase_long,0.29210681442989234,0.2983983644262124,0.006291549996320089,6136.603953994253,1.0025270451851982,trend
2025-02-20,IM,reduce_long,0.46098737606039186,0.40964820399028906,-0.0513391720701028,7769.144288400347,1.141225607949326,trend
2025-02-20,M,increase_long,0.2983983644262124,0.3454272495531437,0.047028885126931264,6193.698477342924,1.0634269893425865,trend
2025-02-21,IM,reduce_long,0.40964820399028906,0.36595237433602845,-0.04369582965426061,7948.764757846288,0.9105733062572792,trend
